indicator,Sea surface temperature ,Sea surface temperature ,Sea surface temperature 
units ,standardized monthly anomaly,standardized monthly anomaly,standardized monthly anomaly
extent,western subregion,central subregion,eastern subregion
Aug2010,0.761566119,0.999997475,0.580313203
Sep2010,0.986572713,1.150776304,0.808466593
Oct2010,0.840054687,1.075239441,0.721153005
Nov2010,0.193425521,0.622691776,-0.019186701
Dec2010,-0.157780255,0.125606194,-0.538013594
Jan2011,-0.685724818,-0.349932274,-1.105771218
Feb2011,-0.813392417,-0.455018774,-1.202954214
Mar2011,-0.665913038,-0.390679055,-0.923204703
Apr2011,-0.706182885,-0.366955443,-0.735760265
May2011,-0.326119045,-0.117441391,-0.177997216
Jun2011,0.137521428,0.252333547,0.454601682
Jul2011,0.738878945,0.633017856,1.108587451
Aug2011,0.711598519,0.770805765,1.175421752
Sep2011,0.68092934,0.800059231,0.905511609
Oct2011,0.799665572,0.94758773,0.766230001
Nov2011,0.69776436,0.983231014,0.625965426
Dec2011,0.632013959,0.924413492,0.543992371
Jan2012,0.427649873,0.694098628,0.376531032
Feb2012,0.765430997,0.74730996,0.566585381
Mar2012,0.98513027,0.917667385,0.901435918
Apr2012,1.278180323,0.978989132,1.131545959
May2012,1.312443393,1.037128381,0.948958842
Jun2012,1.134247292,1.150246601,0.680632292
Jul2012,1.129865246,1.2942907,0.46580082
Aug2012,0.88141729,1.231608641,0.078541547
Sep2012,0.875404872,1.083226319,-0.020255674
Oct2012,0.646352842,0.99991904,-0.39607454
Nov2012,0.838001694,1.099007678,-0.1964675
Dec2012,1.071106808,0.900224523,-0.019978819
Jan2013,1.188466006,0.89248072,0.213693524
Feb2013,1.055963821,0.727379365,0.346736964
Mar2013,0.658287035,0.392677078,0.230014311
Apr2013,0.272556561,0.018648073,0.191959711
May2013,0.208756933,-0.183092945,0.063030576
Jun2013,-0.092192212,-0.239060727,-0.325324574
Jul2013,-0.401887652,-0.4469732,-0.624066949
Aug2013,-0.313233825,-0.473036197,-0.577735195
Sep2013,-0.026864078,-0.25428848,-0.554470167
Oct2013,0.263476313,0.139589317,-0.336354799
Nov2013,0.116605734,-0.025283857,-0.04792863
Dec2013,0.010201669,-0.159878694,0.184516983
Jan2014,-0.019295819,-0.211673113,0.217166768
Feb2014,-0.215193472,-0.404173225,0.005969579
Mar2014,-0.515547243,-0.676323526,-0.161732316
Apr2014,-0.76995507,-1.274316892,-0.220825092
May2014,-0.820861187,-1.368227869,-0.389671195
Jul2014,-0.5816906,-1.23407982,-0.193993303
Aug2014,-0.410531948,-1.074503697,0.06925516
Sep2014,-0.101189048,-0.747968391,0.383827485
Oct2014,0.253088204,-0.320785398,0.628492339
Nov2014,0.439343496,0.086273425,0.514498728
Dec2014,0.651967349,0.172605491,0.679964816
Jan2015,0.813877735,0.180863808,0.805206489
Feb2015,0.91625959,0.130435076,0.678490711
Mar2015,0.974155031,0.039815194,0.705809917
Apr2015,1.073815173,-0.050859543,0.89661065
May2015,1.399801083,0.105705489,1.325218209
Jun2015,1.459658064,0.583161896,1.463027458
Jul2015,1.493768455,0.639917217,1.417748052
Aug2015,1.424074977,0.707074195,1.496354845
Sep2015,1.220392227,0.706878059,1.414202504
Oct2015,0.882353733,0.756753967,1.046671821
Nov2015,0.948835918,0.869853204,1.17647016
Dec2015,1.131587234,0.651583381,1.205966614
Jan2016,1.150947122,0.70878457,1.372650098
Feb2016,1.123467039,0.611675894,1.396077709
Mar2016,1.239649067,0.745425336,1.42588678
